comparison_score,target_path,target_type,target_subject,verdict,reasons,raw_hash_match,canonical_hash_match,body_hash_match,attachment_match_count,simhash_distance,token_jaccard,semantic_cosine
1270.0,"C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\2nd Africa Directors Summit, 21 - 24 November 2023, Lagoon Beach Hotel, Cape Town, South Africa.eml",eml,"2nd Africa Directors Summit, 21 - 24 November 2023, Lagoon Beach Hotel, Cape Town, South Africa",IDENTICAL,raw_sha256_match;canonical_sha256_match,1,1,1,2,0.0,1.0,1.0
677.15,"C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\4th AFRICA DIRECTOR'S SUMMIT, 19-22 NOVEMBER 2024, LAGOON BEACH HOTEL, CAPE TOWN, RSA.eml",eml,"4th AFRICA DIRECTOR'S SUMMIT, 19-22 NOVEMBER 2024, LAGOON BEACH HOTEL, CAPE TOWN, RSA",REVIEW_SEMANTIC,semantic_cosine_review>= 0.80 (0.89),0,0,0,0,8.0,0.32275132275132273,0.8887092444220592
166.45,"C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\AFRICA OCCUPATIONAL HEALTH & SAFETY TECHNOLOGIES CONFERENCE. 29 NOVEMBER - 01 DECEMBER 2023, BIRCHWOOD HOTEL.eml",eml,"AFRICA OCCUPATIONAL HEALTH & SAFETY TECHNOLOGIES CONFERENCE. 29 NOVEMBER - 01 DECEMBER 2023, BIRCHWOOD HOTEL",UNRELATED,,0,0,0,0,11.0,0.3460490463215259,0.7884033896794324
155.12,"C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\AFRICA OCCUPATIONAL SAFETY & HEALTH TECHNOLOGIES CONFERENCE. 29 NOVEMBER - 01 DECEMBER 2023, BIRCHWOOD HOTEL & CONFERENCE CENTRE, JOHANNESBURG.eml",eml,"AFRICA OCCUPATIONAL SAFETY & HEALTH TECHNOLOGIES CONFERENCE. 29 NOVEMBER - 01 DECEMBER 2023, BIRCHWOOD HOTEL & CONFERENCE CENTRE, JOHANNESBURG",UNRELATED,,0,0,0,0,10.0,0.229957805907173,0.7812531222159449
154.72,"C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\2nd Employee Health, Wellness And HIV_AIDS Conference.eml",eml,"2nd Employee Health, Wellness And HIV/AIDS Conference",UNRELATED,,0,0,0,0,16.0,0.2694736842105263,0.7977212156847054
146.7,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\CORPORATE GOVERNANCE EVOLUTION MASTERCLASS ON UNMASKING THE KEY CORPORATE GOVERNANCE.eml,eml,CORPORATE GOVERNANCE EVOLUTION MASTERCLASS ON UNMASKING THE KEY CORPORATE GOVERNANCE,UNRELATED,,0,0,0,0,11.0,0.15570175438596492,0.7812524453869809
146.06,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\Master the Art of Effective Delegation in Just One Day! (1).eml,eml,Master the Art of Effective Delegation in Just One Day!,UNRELATED,,0,0,0,0,13.0,0.18666666666666668,0.7639286301625356
145.82,"C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\Master the Art of Governance, Risk, and Compliance - Enroll Now!.eml",eml,"Master the Art of Governance, Risk, and Compliance - Enroll Now!",UNRELATED,,0,0,0,0,10.0,0.16421052631578947,0.7539749018084888
145.63,"C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\CPD POINTS PVT 887 DRONES AND UNMANNED AVIATION CONFERENCE, 1-2 JUNE 2023 AT BIRCHWOOD HOTEL, JOHANNESBURG, RSA.eml",eml,"CPD POINTS PVT 887 DRONES AND UNMANNED AVIATION CONFERENCE, 1-2 JUNE 2023 AT BIRCHWOOD HOTEL, JOHANNESBURG, RSA",UNRELATED,,0,0,0,0,12.0,0.22627737226277372,0.7100279191958252
145.36,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\Master the Art of Effective Delegation in Just One Day! (3).eml,eml,Master the Art of Effective Delegation in Just One Day!,UNRELATED,,0,0,0,0,14.0,0.18930957683741648,0.764325447509598
144.36,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\Master the Art of Effective Delegation in Just One Day! (2).eml,eml,Master the Art of Effective Delegation in Just One Day!,UNRELATED,,0,0,0,0,15.0,0.18930957683741648,0.7643072114243333
144.09,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\Master the Art of Effective Delegation in Just One Day!.eml,eml,Master the Art of Effective Delegation in Just One Day!,UNRELATED,,0,0,0,0,15.0,0.18666666666666668,0.7642558104164823
143.97,"C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\EMPLOYEE HEALTH, WELLNESS & HIV_AIDS CONFERENCE. 16-18 August  2023, EMPERORS PALACE, JOHANNESBURG, SOUTH AFRICA.eml",eml,"EMPLOYEE HEALTH, WELLNESS & HIV/AIDS CONFERENCE. 16-18 August  2023, EMPERORS PALACE, JOHANNESBURG, SOUTH AFRICA",UNRELATED,,0,0,0,0,16.0,0.19956616052060738,0.7601019864003625
142.43,"C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\EMPLOYEE HEALTH, WELLNESS & HIV_AIDS CONFERENCE. 24-26 JULY 2023, EMPERORS PALACE, JOHANNESBURG, SOUTH AFRICA.eml",eml,"EMPLOYEE HEALTH, WELLNESS & HIV/AIDS CONFERENCE. 24-26 JULY 2023, EMPERORS PALACE, JOHANNESBURG, SOUTH AFRICA",UNRELATED,,0,0,0,0,16.0,0.19911504424778761,0.7451935329898385
141.6,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\NFMW Integrated Report & Key Highlights 📑.eml,eml,NFMW Integrated Report & Key Highlights 📑,UNRELATED,,0,0,0,0,11.0,0.12770137524557956,0.7582871963263124
141.46,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\Strategic HRM & Business Partnering.eml,eml,Strategic HRM & Business Partnering,UNRELATED,,0,0,0,0,16.0,0.16795865633074936,0.7666536568782555
140.04,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\Training Courses This Coming August.eml,eml,Training Courses This Coming August,UNRELATED,,0,0,0,0,14.0,0.15497076023391812,0.7454664188761704
140.02,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\OCCUPATIONAL HEALTH & SAFETY CONFERENCE AUGUST 2023.eml,eml,OCCUPATIONAL HEALTH & SAFETY CONFERENCE AUGUST 2023,UNRELATED,,0,0,0,0,13.0,0.1608695652173913,0.7292923093371021
139.86,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\Annual GovLaw  Conference .eml,eml,Annual GovLaw  Conference ,UNRELATED,,0,0,0,0,11.0,0.15328467153284672,0.7152678633535823
139.5,"C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\CERTIFIED BUSINESS INTELLIGENCE, DATA REPORTING AND DATA ANALYSIS TRAINING 2023.eml",eml,"CERTIFIED BUSINESS INTELLIGENCE, DATA REPORTING AND DATA ANALYSIS TRAINING 2023",UNRELATED,,0,0,0,0,10.0,0.13706563706563707,0.7179611556788262
139.08,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\Reminder_ Elevate Your HR Career with Our Strategic HRM and Business Partnering Course! (1).eml,eml,Reminder: Elevate Your HR Career with Our Strategic HRM and Business Partnering Course!,UNRELATED,,0,0,0,0,16.0,0.18142548596112312,0.7293448457328298
138.92,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\Reminder_ Elevate Your HR Career with Our Strategic HRM and Business Partnering Course!.eml,eml,Reminder: Elevate Your HR Career with Our Strategic HRM and Business Partnering Course!,UNRELATED,,0,0,0,0,16.0,0.1788793103448276,0.7303695497056575
138.89,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\Integrating Agile and Change Management for Public Sector Excellence.eml,eml,Integrating Agile and Change Management for Public Sector Excellence,UNRELATED,,0,0,0,0,19.0,0.1618798955613577,0.7770379819855251
138.85,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\GovLaw  Conference  (1).eml,eml,GovLaw  Conference ,UNRELATED,,0,0,0,0,12.0,0.15328467153284672,0.7152207785777475
138.75,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\Reminder to register_ SMART WATER Technologies.eml,eml,Reminder to register: SMART WATER Technologies,UNRELATED,,0,0,0,0,12.0,0.17136659436008678,0.696175104110487
138.65,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\The Outstanding Receptionist & Office Administrator (2).eml,eml,The Outstanding Receptionist & Office Administrator,UNRELATED,,0,0,0,0,13.0,0.1583710407239819,0.7181457342588344
138.4,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\The Outstanding Receptionist & Office Administrator.eml,eml,The Outstanding Receptionist & Office Administrator,UNRELATED,,0,0,0,0,13.0,0.15575620767494355,0.7182355679505336
138.37,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\Elevate Your HR Career with Our Strategic HRM and Business Partnering Course!.eml,eml,Elevate Your HR Career with Our Strategic HRM and Business Partnering Course!,UNRELATED,,0,0,0,0,17.0,0.18398268398268397,0.7296745996894977
138.12,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\GovLaw  Conference .eml,eml,GovLaw  Conference ,UNRELATED,,0,0,0,0,12.0,0.15539305301645337,0.7058199088712125
138.06,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\Advanced Minutes Taking and Report Writing.eml,eml,Advanced Minutes Taking and Report Writing,UNRELATED,,0,0,0,0,15.0,0.16052060737527116,0.7300999530498974
137.95,"C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\Corporate Fraud Prevention, Detection & Investigation Training (1).eml",eml,"Corporate Fraud Prevention, Detection & Investigation Training",UNRELATED,,0,0,0,0,12.0,0.14533622559652928,0.7141194894600011
137.92,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\15th Annual Business Process Management for Government & State-Owned Enterprises.eml,eml,15th Annual Business Process Management for Government & State-Owned Enterprises,UNRELATED,,0,0,0,0,16.0,0.16432865731462926,0.7348411472620705
137.83,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\Last Reminder_ The Office Professional & Records Management Masterclass.eml,eml,Last Reminder: The Office Professional & Records Management Masterclass,UNRELATED,,0,0,0,0,14.0,0.17225950782997762,0.7060482012485791
137.81,"C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\Corporate Fraud Prevention, Detection & Investigation Training.eml",eml,"Corporate Fraud Prevention, Detection & Investigation Training",UNRELATED,,0,0,0,0,12.0,0.14285714285714285,0.715193321754493
137.79,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\Public Sector Supply Chain Excellence Week Conference (1).eml,eml,Public Sector Supply Chain Excellence Week Conference,UNRELATED,,0,0,0,0,15.0,0.15664845173041894,0.7312230423852286
137.68,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\15th Annual WOMEN IN MINING CONFERENCE & CAREER EXPO (3).eml,eml,15th Annual WOMEN IN MINING CONFERENCE & CAREER EXPO,UNRELATED,,0,0,0,0,11.0,0.14516129032258066,0.7016554706451239
137.66,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\Government Communication & Public Relations Training (4).eml,eml,Government Communication & Public Relations Training,UNRELATED,,0,0,0,0,18.0,0.1711340206185567,0.7454962722347708
137.66,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\The Outstanding Receptionist & Office Administrator (3).eml,eml,The Outstanding Receptionist & Office Administrator,UNRELATED,,0,0,0,0,14.0,0.15873015873015872,0.7178248905055507
137.65,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\Last Reminder to register_ Public Safety & Security Drones Conference.eml,eml,Last Reminder to register: Public Safety & Security Drones Conference,UNRELATED,,0,0,0,0,12.0,0.1716937354988399,0.6847856162957574
137.59,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\Senior Secretary development 17-19 May 2023.eml,eml,Senior Secretary development 17-19 May 2023,UNRELATED,,0,0,0,0,20.0,0.19553072625698323,0.7403386034354588
137.48,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\Government Communication & Public Relations Training (2).eml,eml,Government Communication & Public Relations Training,UNRELATED,,0,0,0,0,18.0,0.16872427983539096,0.7460548437432056
137.4,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\15th Annual WOMEN IN MINING CONFERENCE & CAREER EXPO.eml,eml,15th Annual WOMEN IN MINING CONFERENCE & CAREER EXPO,UNRELATED,,0,0,0,0,11.0,0.143317230273752,0.7006484911953327
137.37,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\Mineral Resources Compliance & Reporting Conference (4).eml,eml,Mineral Resources Compliance & Reporting Conference,UNRELATED,,0,0,0,0,11.0,0.13242784380305603,0.7113087184663546
137.32,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\Mineral Resources Compliance & Reporting Conference.eml,eml,Mineral Resources Compliance & Reporting Conference,UNRELATED,,0,0,0,0,16.0,0.14906832298136646,0.7441586973004263
137.23,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\The Office Professional & Records Management Masterclass (3).eml,eml,The Office Professional & Records Management Masterclass,UNRELATED,,0,0,0,0,14.0,0.16964285714285715,0.7026260551037702
137.21,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\The Office Professional & Records Management Masterclass (4).eml,eml,The Office Professional & Records Management Masterclass,UNRELATED,,0,0,0,0,14.0,0.16964285714285715,0.7024678451532775
137.12,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\15th Annual Business Process Management for Government & State-Owned Enterprises (2).eml,eml,15th Annual Business Process Management for Government & State-Owned Enterprises,UNRELATED,,0,0,0,0,19.0,0.14885496183206107,0.7722998121953764
137.12,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\Government Communication & Public Relations Training (3).eml,eml,Government Communication & Public Relations Training,UNRELATED,,0,0,0,0,18.0,0.16598360655737704,0.7452197243350879
137.11,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\Mineral Resources Compliance & Reporting Conference (3).eml,eml,Mineral Resources Compliance & Reporting Conference,UNRELATED,,0,0,0,0,12.0,0.13471502590673576,0.716348894807805
137.11,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\WOMEN MANAGERS LEADERSHIP RETREAT (5).eml,eml,WOMEN MANAGERS LEADERSHIP RETREAT,UNRELATED,,0,0,0,0,16.0,0.16824196597353497,0.7228387391170844
137.03,"C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\Budget Preparation, Allocation & Cost Control (1).eml",eml,"Budget Preparation, Allocation & Cost Control",UNRELATED,,0,0,0,0,15.0,0.18303571428571427,0.6972712927441569
136.93,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\Government Communication & Public Relations Training (1).eml,eml,Government Communication & Public Relations Training,UNRELATED,,0,0,0,0,18.0,0.16359918200409,0.745708471791054
136.93,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\Government Communication & Public Relations Training.eml,eml,Government Communication & Public Relations Training,UNRELATED,,0,0,0,0,18.0,0.16393442622950818,0.7453723955606655
136.87,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\WOMEN MANAGERS LEADERSHIP RETREAT (2).eml,eml,WOMEN MANAGERS LEADERSHIP RETREAT,UNRELATED,,0,0,0,0,16.0,0.1660377358490566,0.7226534263226252
136.85,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\Do you want to learn today’s best practices in accounts payable.eml,eml,Do you want to learn today’s best practices in accounts payable,UNRELATED,,0,0,0,0,11.0,0.17114914425427874,0.6673773166914703
136.69,C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\Women in Treasury.eml,eml,Women in Treasury,UNRELATED,,0,0,0,0,13.0,0.16122448979591836,0.6956256475364461
